[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
             beta[1]       beta[2]      beta[3]       beta[4]      beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
  [7,] -0.193167524 -0.211144594 -0.573754496  0.3116167310 -4.668200e-02 -0.0964780582         38.63514         36.86552         56.49014
  [8,] -0.449560191 -0.138734341 -0.374192724 -0.1400578394 -2.604818e-01 -0.0332446089         40.14303         44.83039         45.78267
  [9,] -0.240847484 -0.224690681 -0.351003184 -0.1157122929 -1.304762e-01 -0.1980513714         41.12748         42.73887         46.70517
 [10,] -0.347655937  0.042582897 -0.031732822 -0.3363787346 -6.843054e-02 -0.0558288935         45.27313         40.96361         49.82794
 [11,] -0.244266655 -0.226872926 -0.216766311 -0.0999006434 -2.483431e-01 -0.0695272502         36.29775         44.70395         53.65421
 [12,] -0.119031035  0.043265230 -0.460921375  0.3421850174 -2.129289e-01  0.0802628460         37.32139         41.66826         57.02550
 [13,] -0.296458508 -0.278061235 -0.727581405  0.1830247870 -1.313698e-01 -0.0469998249         38.10589         45.51980         41.40940
 [14,] -0.038714753 -0.075501760 -0.177487634  0.0630439247 -3.854093e-01  0.1808601383         35.63399         31.87104         46.28697
 [15,] -0.184131479 -0.008265583 -0.161964228  0.0865207191 -2.608057e-01 -0.0354218422         27.05360         39.78841         35.62426
 [16,] -0.502950021 -0.034762146 -0.622722398  0.0527331763 -1.684791e-01  0.1637578936         38.79172         53.60960         43.58167
 [17,] -0.130012019 -0.027360817 -0.313040367  0.2309176319 -3.102532e-01 -0.0251074796         34.27973         34.99990         36.73851
 [18,] -0.396647857 -0.123008609 -0.507668798 -0.1016714390  1.179348e-01 -0.2281704557         24.36144         43.24204         42.79245
 [19,] -0.005935383 -0.003987330 -0.234968342  0.2517983361 -5.809063e-02 -0.1705259927         28.70608         38.27809         49.45138
 [20,] -0.142655845 -0.291184521 -0.481659456  0.0477216374 -2.040018e-01 -0.1879717958         40.34285         55.29703         59.63723
 [21,] -0.297676960 -0.065823942  0.014318312 -0.2300956184 -2.167334e-01 -0.1031743119         24.78702         39.41020         31.47185
 [22,] -0.008501566  0.006059463 -0.290626938  0.2595132921 -6.077615e-02 -0.1695038196         43.42399         40.36848         56.99407
