
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[163] 1.981e-04 0.000e+00 0.000e+00      0.000e+00
hr[164] 9.160e-04 0.000e+00 0.000e+00      0.000e+00
hr[165] 4.424e-03 0.000e+00 0.000e+00      0.000e+00
hr[166] 7.859e-05 0.000e+00 0.000e+00      0.000e+00
hr[167] 6.261e-05 4.867e-06 1.405e-07      2.463e-07
hr[168] 2.256e-04 3.522e-06 1.017e-07      2.117e-07
hr[169] 1.916e-04 5.242e-06 1.513e-07      6.060e-07
hr[170] 9.399e-05 1.823e-06 5.263e-08      2.928e-07
hr[171] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[172] 6.363e-05 0.000e+00 0.000e+00      0.000e+00
hr[173] 1.870e-04 0.000e+00 0.000e+00      0.000e+00
hr[174] 2.078e-05 0.000e+00 0.000e+00      0.000e+00
hr[175] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[176] 1.653e-02 0.000e+00 0.000e+00      0.000e+00
hr[177] 5.742e-03 0.000e+00 0.000e+00      0.000e+00
hr[178] 4.167e-05 2.099e-06 6.059e-08      1.459e-07
hr[179] 3.769e-04 6.642e-06 1.917e-07      1.203e-06
hr[180] 2.378e-03 0.000e+00 0.000e+00      0.000e+00
hr[181] 7.128e-03 0.000e+00 0.000e+00      0.000e+00
hr[182] 3.265e-03 0.000e+00 0.000e+00      0.000e+00
hr[183] 5.169e-03 0.000e+00 0.000e+00      0.000e+00
hr[184] 5.000e-03 0.000e+00 0.000e+00      0.000e+00
hr[185] 2.362e-03 0.000e+00 0.000e+00      0.000e+00
hr[186] 9.939e-03 0.000e+00 0.000e+00      0.000e+00
hr[187] 1.163e-03 0.000e+00 0.000e+00      0.000e+00
hr[188] 3.452e-03 0.000e+00 0.000e+00      0.000e+00
hr[189] 1.292e-03 0.000e+00 0.000e+00      0.000e+00
hr[190] 1.981e-04 0.000e+00 0.000e+00      0.000e+00
hr[191] 9.160e-04 0.000e+00 0.000e+00      0.000e+00
hr[192] 4.424e-03 0.000e+00 0.000e+00      0.000e+00
hr[193] 7.859e-05 0.000e+00 0.000e+00      0.000e+00
hr[194] 6.126e-05 2.987e-06 8.623e-08      1.274e-07
hr[195] 2.156e-04 1.407e-06 4.061e-08      3.226e-07
hr[196] 1.936e-04 9.829e-06 2.837e-07      1.027e-06
hr[197] 9.244e-05 1.301e-06 3.757e-08      1.498e-07
hr[198] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[199] 5.742e-03 0.000e+00 0.000e+00      0.000e+00
hr[200] 4.584e-05 5.714e-06 1.650e-07      1.228e-07
hr[201] 3.962e-04 6.044e-06 1.745e-07      1.153e-06
hr[202] 5.909e-04 6.612e-06 1.909e-07      1.292e-06
hr[203] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[204] 6.216e-05 1.142e-06 3.296e-08      2.275e-07
hr[205] 2.301e-04 1.027e-05 2.966e-07      1.125e-06
hr[206] 1.793e-04 2.215e-06 6.396e-08      3.896e-07
hr[207] 9.598e-05 2.698e-06 7.790e-08      9.251e-08
hr[208] 0.000e+00 0.000e+00 0.000e+00      0.000e+00
hr[209] 1.168e-02 0.000e+00 0.000e+00      0.000e+00
hr[210] 3.164e-01 0.000e+00 0.000e+00      0.000e+00
hr[211] 1.168e-02 0.000e+00 0.000e+00      0.000e+00
hr[212] 3.164e-01 0.000e+00 0.000e+00      0.000e+00
hr[213] 1.168e-02 0.000e+00 0.000e+00      0.000e+00
hr[214] 3.164e-01 0.000e+00 0.000e+00      0.000e+00
hr[215] 1.168e-02 0.000e+00 0.000e+00      0.000e+00
hr[216] 3.164e-01 0.000e+00 0.000e+00      0.000e+00

2. Quantiles for each variable:

             2.5%       25%       50%       75%     97.5%
hr[1]   0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[2]   2.001e-08 2.013e-08 2.020e-08 2.240e-08 2.273e-08
hr[3]   3.934e-07 3.964e-07 4.213e-07 4.253e-07 4.322e-07
hr[4]   2.140e-07 2.152e-07 2.258e-07 2.267e-07 2.277e-07
hr[5]   1.077e-05 1.079e-05 1.097e-05 1.103e-05 1.110e-05
hr[6]   4.726e-06 4.758e-06 4.783e-06 5.105e-06 5.356e-06
