SPECIES_CODE,Source,AssignedSSMU,CalendarYear,Month,TotalCatch
KRI,C1,APEI,1982,11,2
KRI,C1,APEI,1983,11,4
KRI,C1,APEI,1984,1,349
KRI,C1,APEI,1984,2,789
KRI,C1,APEI,1984,3,4031
KRI,C1,APEI,1985,1,3071
KRI,C1,APEI,1985,2,1723
KRI,C1,APEI,1985,12,1404
KRI,C1,APEI,1986,1,1561
KRI,C1,APEI,1986,2,9613
KRI,C1,APEI,1986,3,4928
KRI,C1,APEI,1986,12,2575
KRI,C1,APEI,1987,1,10463
KRI,C1,APEI,1987,2,18122
KRI,C1,APEI,1987,3,18315
KRI,C1,APEI,1987,4,4114
KRI,C1,APEI,1987,12,467
KRI,C1,APEI,1988,1,2450
KRI,C1,APEI,1988,2,751
KRI,C1,APEI,1988,3,8965
KRI,C1,APEI,1988,4,10144
KRI,C1,APEI,1988,12,167
KRI,C1,APEI,1989,1,25880
KRI,C1,APEI,1989,2,5961
KRI,C1,APEI,1989,3,11262
KRI,C1,APEI,1989,4,491
KRI,C1,APEI,1989,12,1179
KRI,C1,APEI,1990,1,2977
KRI,C1,APEI,1990,2,9847
KRI,C1,APEI,1990,3,7289
KRI,C1,APEI,1990,4,1359
KRI,C1,APEI,1990,10,688
KRI,C1,APEI,1990,11,1587
KRI,C1,APEI,1990,12,1430
KRI,C1,APEI,1991,1,86
KRI,C1,APEI,1991,2,22
KRI,C1,APEI,1991,3,11193
KRI,C1,APEI,1991,4,12875
KRI,C1,APEI,1991,11,4171
KRI,C1,APEI,1992,1,718
KRI,C1,APEI,1992,2,1150
KRI,C1,APEI,1992,3,3493
KRI,C1,APEI,1992,4,882
KRI,C1,APEI,1992,10,23
KRI,C1,APEI,1993,2,190
KRI,C1,APEI,1993,3,2075
KRI,C1,APEI,1993,4,100
KRI,C1,APEI,1994,3,402
KRI,C1,APEI,1994,4,15297
KRI,C1,APEI,1994,5,1960
KRI,C1,APEI,1995,1,810
KRI,C1,APEI,1995,2,1625
KRI,C1,APEI,1995,3,1083
KRI,C1,APEI,1995,4,10269
KRI,C1,APEI,1995,5,874
KRI,C1,APEI,1995,10,142
KRI,C1,APEI,1995,11,226
KRI,C1,APEI,1995,12,43
KRI,C1,APEI,1996,2,2024
KRI,C1,APEI,1996,3,3042
KRI,C1,APEI,1996,4,6178
KRI,C1,APEI,1996,5,1217
KRI,C1,APEI,1996,10,47
KRI,C1,APEI,1996,11,20
KRI,C1,APEI,1996,12,938
KRI,C1,APEI,1997,1,838
KRI,C1,APEI,1997,2,1435
KRI,C1,APEI,1997,3,2654
KRI,C1,APEI,1997,4,3160
KRI,C1,APEI,1997,5,28
KRI,C1,APEI,1997,10,55
KRI,C1,APEI,1997,11,6
KRI,C1,APEI,1997,12,879
KRI,C1,APEI,1998,1,1062
KRI,C1,APEI,1998,2,2452
KRI,C1,APEI,1998,3,1289
KRI,C1,APEI,1998,4,84
KRI,C1,APEI,1998,12,23
KRI,C1,APEI,1999,1,1026
KRI,C1,APEI,1999,2,493
KRI,C1,APEI,1999,3,2904
KRI,C1,APEI,1999,4,4386
KRI,C1,APEI,1999,5,14
KRI,C1,APEI,1999,11,35
KRI,C1,APEI,1999,12,324
KRI,C1,APEI,2000,1,48
KRI,C1,APEI,2000,2,2608
KRI,C1,APEI,2000,3,1158
KRI,C1,APEI,2000,4,4555
KRI,C1,APEI,2000,5,2427
KRI,C1,APEI,2000,6,295
KRI,C1,APEI,2000,12,310
KRI,C1,APEI,2001,1,621
KRI,C1,APEI,2001,2,883
KRI,C1,APEI,2001,3,890
KRI,C1,APEI,2001,4,660
KRI,C1,APEI,2001,5,981
KRI,C1,APEI,2001,6,276
KRI,C1,APEI,2002,1,82
KRI,C1,APEI,2002,2,2366
KRI,C1,APEI,2002,3,1489
KRI,C1,APEI,2002,4,122
KRI,C1,APEI,2003,1,5
KRI,C1,APEI,2003,2,896
KRI,C1,APEI,2003,3,11
KRI,C1,APEI,2003,4,50
KRI,C1,APEI,2003,12,15
KRI,C1,APEI,2004,1,8
KRI,C1,APEI,2004,2,67
KRI,C1,APEI,2004,3,4148
KRI,C1,APEI,2004,5,258
KRI,C1,APEI,2004,6,442
KRI,C1,APEI,2004,7,894
KRI,C1,APEI,2004,8,327
KRI,C1,APEI,2004,10,13
KRI,C1,APEI,2005,2,9
KRI,C1,APEI,2005,3,13
KRI,C1,APEI,2005,4,16
KRI,C1,APEI,2006,3,2190
KRI,C1,APEI,2007,3,1184
KRI,C1,APEI,2007,12,836
KRI,C1,APEI,2008,1,1311
KRI,C1,APEI,2008,2,104
KRI,C1,APEI,2009,1,617
KRI,C1,APEI,2009,2,35
KRI,C1,APEI,2009,3,1195
KRI,C1,APEI,2009,4,2024
KRI,C1,APEI,2009,11,13
KRI,C1,APEI,2009,12,191
KRI,C1,APEI,2010,2,1346
KRI,C1,APEI,2010,3,235
KRI,C1,APEI,2010,12,2
KRI,C1,APEI,2011,4,13
KRI,C1,APEI,2011,12,1
