2014,11,-5.19E-01
2014,12,1.32E+00
2015,1,6.75E-01
2015,2,1.22E+00
2015,3,7.73E-01
2015,4,1.03E+00
2015,5,4.16E-01
2015,6,7.11E-01
2015,7,1.68E+00
2015,8,1.06E+00
2015,9,5.42E-01
2015,10,-1.70E-01
2015,11,6.95E-01
2015,12,-5.89E-02
2016,1,1.39E+00
2016,2,1.09E+00
2016,3,2.04E+00
2016,4,9.69E-02
2016,5,1.24E-02
2016,6,2.57E+00
2016,7,4.07E-01
