[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
            beta[1]      beta[2]     beta[3]     beta[4]     beta[5]      beta[6] mulogsummer[1,1]
[18,]         22.51086         33.22397         32.68045 0.9667388       9.194927 1.82496476
[19,]         23.63284         30.86049         25.33420 0.9069730       7.737370 1.44148448
[20,]         25.28147         36.48008         39.66770 0.9511416       8.965622 0.19044956
[21,]         32.83569         34.75430         35.50183 0.9644772       8.747978 0.62307822
[22,]         26.21165         34.76878         20.41071 1.0125103       8.953664 1.25059768
[23,]         28.26653         34.66987         32.03117 0.9442069       8.703920 1.02498640
[24,]         14.10496         25.65951         32.32508 0.9438514       8.255594 0.41030358
[25,]         18.58109         32.79881         35.58553 0.9711079       8.602357 0.77521424
[26,]         35.86806         36.66005         31.91464 0.8405402       9.207275 0.84644360
[27,]         23.62830         23.43370         23.89935 0.9238118       5.573519 0.56540847
[28,]         18.06308         28.05805         21.81247 1.0216633       7.332206 1.22660869
[29,]         24.25791         28.47668         27.90399 1.0053500       8.466494 0.68854956
[30,]         30.07788         29.45800         25.51248 0.9718137       8.047011 1.25765272
[31,]         15.21596         30.53164         26.98016 0.9609956       7.894343 1.61327958
[32,]         23.49788         24.82375         29.50244 1.0842485       7.100894 0.77207492
[33,]         17.79355         22.90563         20.75281 1.0321597       5.509546 1.91797308
[34,]         22.14420         35.92706         21.43030 0.9279443       7.566699 0.38551148
[35,]         18.89449         29.21843         31.94216 1.0822819       8.781295 1.77886018
[36,]         22.50738         37.07744         34.04850 0.8995518       8.687778 0.77229575
[37,]         22.75682         34.48723         25.01717 0.9390059       8.747124 0.62132643
[38,]         21.76301         30.12480         25.22400 0.9141901       6.843112 1.72411903
[39,]         28.64046         36.72724         28.06761 0.9855734       8.753854 1.39815147
[40,]         17.82576         33.58271         29.03230 0.8734313       8.914611 0.77248103
[41,]         20.98673         26.39343         25.99057 0.9152200       6.696499 0.44061076
[42,]         30.71234         29.89255         34.39632 0.9549705       9.054152 1.55731073
[43,]         20.73129         30.78477         30.68209 0.9099892       8.425726 1.76705995
[44,]         28.60368         41.03577         37.03786 0.9171169       9.151101 0.40820278
[45,]         29.13584         40.83159         30.52025 0.9741032       9.057426 1.85835332
[46,]         21.54895         37.15607         30.41115 0.9405677       7.778816 0.13619787
[47,]         16.66496         33.12146         32.03543 0.9695983       9.188846 0.96017216
[48,]         33.08864         32.13892         31.47685 0.8783639       9.205972 1.78193674

[[3]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
           beta[1]      beta[2]     beta[3]     beta[4]     beta[5]       beta[6] mulogsummer[1,1]
 [1,] -0.231269231 -0.044648960 -0.17359768 -0.09802334 -0.09522336 -0.2163109120         29.04084
 [2,] -0.217286289 -0.027814393 -0.31968154  0.19469831 -0.18586684 -0.0216174148         32.20222
 [3,] -0.146099988 -0.066759584  0.02846187 -0.14705686 -0.13501544 -0.0906241754         26.75216
 [4,]  0.060929177  0.054137900  0.08077775  0.04157985 -0.28854901 -0.0492940850         22.01885
 [5,] -0.088851360 -0.011948304 -0.18326128  0.00630730 -0.33088770 -0.1156441195         22.57046
 [6,] -0.247255950 -0.089366334 -0.05291884 -0.17041574 -0.28293425 -0.1670124118         27.16837
 [7,] -0.061084771  0.032313355 -0.27423827  0.28451691 -0.39317568  0.0578957577         25.80821
 [8,] -0.179618899 -0.019361484 -0.78149420  0.50535942 -0.33085433 -0.1340833099         32.67671
 [9,] -0.123221766 -0.074744914 -0.06216118  0.09337889 -0.28475488  0.0475385499         26.22499
[10,]  0.015054154  0.136049256  0.39073210 -0.31620337 -0.20953363 -0.0650736735         29.16094
[11,] -0.007264663  0.001904859 -0.09228513  0.18934253 -0.25725349 -0.1422693421         34.95745
[12,] -0.551833009 -0.018445936  0.46778534 -1.01477437 -0.06655304 -0.1609658251         20.67909
[13,] -0.191328169 -0.008125387 -0.53611847  0.36741773 -0.16048616 -0.1510763834         33.27491
[14,] -0.066041982  0.055641816 -0.15684702  0.06915791 -0.01531005 -0.1893422458         28.32291
[15,] -0.065064286 -0.082233410 -0.51044073  0.47602180 -0.31317926  0.0055909602         30.48952
[16,] -0.370181095 -0.020810563 -0.17462341 -0.28762480 -0.05243412 -0.1680732370         20.40815
[17,] -0.046237273 -0.108590311 -0.60567571  0.54499119 -0.26004620 -0.0519338333         27.52677
[18,] -0.057567122  0.036064365 -0.24606979  0.14155818 -0.23607595 -0.1482310043         34.64924
[19,] -0.094121453 -0.071804994 -0.30353589  0.22440775 -0.42525762 -0.1531844463         28.34781
[20,] -0.091632974 -0.010118327 -0.13545799  0.10720494 -0.25806801 -0.0290982428         28.50227
[21,] -0.196102373 -0.117962256 -0.32165882  0.14150255 -0.19199298  0.0615701351         31.22488
[22,] -0.121573980  0.026575454 -0.43576841  0.48512162 -0.26953190 -0.0703005753         30.04421
[23,] -0.156874607  0.117229898  0.01445122 -0.12965040 -0.22726097 -0.0363440524         32.68202
[24,] -0.380436395 -0.023371754 -0.25796574 -0.11501923 -0.18578854  0.0091392003         23.04143
[25,] -0.364161319 -0.013927582 -0.34137906 -0.07679394  0.06399917 -0.2262736952         23.73537
[26,] -0.158191196 -0.033357199 -0.16578015  0.03912732 -0.15041331 -0.0739980651         31.37889
[27,] -0.077705437  0.029084272  0.13890364 -0.19490301 -0.16494758 -0.0043474559         28.68032
[28,]  0.058415125 -0.038993623 -0.01291582  0.07951236 -0.17056143 -0.1448234066         29.16985
[29,] -0.293379301  0.046846306 -0.30377227  0.01493871 -0.18682435 -0.0362818697         26.63981
[30,] -0.335961014 -0.022027197 -0.05915024 -0.26479154 -0.35390219  0.0952112331         22.18065
