
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[26]  1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[27]  3.077e-04 9.918e-04 1.805e-03 3.270e-03 1.031e-02
hr[28]  7.248e-04 2.379e-03 4.429e-03 8.134e-03 2.618e-02
hr[29]  4.334e-04 1.475e-03 2.678e-03 4.839e-03 1.579e-02
hr[30]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[31]  3.208e-03 3.208e-03 3.208e-03 3.208e-03 3.208e-03
hr[32]  3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
hr[33]  1.362e-02 1.362e-02 1.362e-02 1.362e-02 1.362e-02
hr[34]  7.457e-03 7.457e-03 7.457e-03 7.457e-03 7.457e-03
hr[35]  4.861e-03 4.861e-03 4.861e-03 4.861e-03 4.861e-03
hr[36]  1.092e-04 1.092e-04 1.092e-04 1.092e-04 1.092e-04
hr[37]  3.729e-03 3.729e-03 3.729e-03 3.729e-03 3.729e-03
hr[38]  9.231e-03 9.231e-03 9.231e-03 9.231e-03 9.231e-03
hr[39]  4.557e-04 4.557e-04 4.557e-04 4.557e-04 4.557e-04
hr[40]  6.950e-04 6.950e-04 6.950e-04 6.950e-04 6.950e-04
hr[41]  9.100e-04 9.100e-04 9.100e-04 9.100e-04 9.100e-04
hr[42]  1.071e-04 1.071e-04 1.071e-04 1.071e-04 1.071e-04
hr[43]  1.505e-03 1.505e-03 1.505e-03 1.505e-03 1.505e-03
hr[44]  1.855e-04 1.855e-04 1.855e-04 1.855e-04 1.855e-04
hr[45]  3.108e-05 3.108e-05 3.108e-05 3.108e-05 3.108e-05
hr[46]  9.675e-05 3.004e-04 5.481e-04 1.002e-03 3.115e-03
hr[47]  2.506e-03 7.991e-03 1.468e-02 2.718e-02 8.408e-02
hr[48]  3.390e-03 1.061e-02 1.969e-02 3.610e-02 1.123e-01
hr[49]  5.616e-05 1.784e-04 3.254e-04 5.921e-04 1.922e-03
hr[50]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[51]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[52]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[53]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[54]  4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[55]  4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[56]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[57]  6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[58]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[59]  2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[60]  1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[61]  1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[62]  1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[63]  1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[64]  3.119e-04 9.945e-04 1.795e-03 3.320e-03 1.017e-02
hr[65]  7.300e-04 2.398e-03 4.373e-03 8.022e-03 2.578e-02
hr[66]  3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
hr[67]  1.362e-02 1.362e-02 1.362e-02 1.362e-02 1.362e-02
hr[68]  7.457e-03 7.457e-03 7.457e-03 7.457e-03 7.457e-03
hr[69]  4.861e-03 4.861e-03 4.861e-03 4.861e-03 4.861e-03
hr[70]  1.092e-04 1.092e-04 1.092e-04 1.092e-04 1.092e-04
hr[71]  3.729e-03 3.729e-03 3.729e-03 3.729e-03 3.729e-03
hr[72]  9.231e-03 9.231e-03 9.231e-03 9.231e-03 9.231e-03
hr[73]  4.557e-04 4.557e-04 4.557e-04 4.557e-04 4.557e-04
hr[74]  6.950e-04 6.950e-04 6.950e-04 6.950e-04 6.950e-04
hr[75]  1.071e-04 1.071e-04 1.071e-04 1.071e-04 1.071e-04
hr[76]  1.855e-04 1.855e-04 1.855e-04 1.855e-04 1.855e-04
hr[77]  3.108e-05 3.108e-05 3.108e-05 3.108e-05 3.108e-05
hr[78]  9.424e-05 3.010e-04 5.496e-04 9.893e-04 3.111e-03
hr[79]  2.585e-03 8.303e-03 1.506e-02 2.721e-02 8.934e-02
hr[80]  3.343e-03 1.083e-02 1.981e-02 3.607e-02 1.181e-01
hr[81]  5.520e-05 1.765e-04 3.211e-04 5.900e-04 1.909e-03
hr[82]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[83]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[84]  7.178e-07 2.300e-06 4.283e-06 7.801e-06 2.460e-05
hr[85]  1.278e-05 4.092e-05 7.529e-05 1.396e-04 4.452e-04
hr[86]  4.333e-06 1.385e-05 2.559e-05 4.661e-05 1.507e-04
hr[87]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[88]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[89]  2.064e-04 6.485e-04 1.209e-03 2.228e-03 7.190e-03
hr[90]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[91]  3.373e-05 1.064e-04 1.939e-04 3.555e-04 1.137e-03
hr[92]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[93]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[94]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[96]  1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[97]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[98]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[99]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[100] 4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[101] 4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[102] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[103] 6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[104] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[105] 2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[106] 1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[107] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[108] 1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[109] 1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[110] 1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[111] 3.123e-04 9.774e-04 1.799e-03 3.234e-03 1.027e-02
hr[112] 7.559e-04 2.397e-03 4.425e-03 8.327e-03 2.626e-02
hr[113] 3.348e-05 1.078e-04 1.938e-04 3.571e-04 1.153e-03
hr[114] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[115] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[116] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[118] 1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[119] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[120] 2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[121] 1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[122] 4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[123] 4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[124] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
