
Iterations = 1000025:1125000
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 5000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[71]  3.729e-03 3.729e-03 3.729e-03 3.729e-03 3.729e-03
hr[72]  9.231e-03 9.231e-03 9.231e-03 9.231e-03 9.231e-03
hr[73]  4.557e-04 4.557e-04 4.557e-04 4.557e-04 4.557e-04
hr[74]  6.950e-04 6.950e-04 6.950e-04 6.950e-04 6.950e-04
hr[75]  1.071e-04 1.071e-04 1.071e-04 1.071e-04 1.071e-04
hr[76]  1.855e-04 1.855e-04 1.855e-04 1.855e-04 1.855e-04
hr[77]  3.108e-05 3.108e-05 3.108e-05 3.108e-05 3.108e-05
hr[78]  9.255e-05 2.975e-04 5.477e-04 1.019e-03 3.286e-03
hr[79]  2.385e-03 8.077e-03 1.486e-02 2.726e-02 8.784e-02
hr[80]  3.448e-03 1.078e-02 1.972e-02 3.649e-02 1.150e-01
hr[81]  5.847e-05 1.781e-04 3.224e-04 5.977e-04 1.939e-03
hr[82]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[83]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[84]  7.093e-07 2.310e-06 4.230e-06 7.846e-06 2.511e-05
hr[85]  1.250e-05 4.141e-05 7.582e-05 1.376e-04 4.500e-04
hr[86]  4.265e-06 1.358e-05 2.547e-05 4.678e-05 1.534e-04
hr[87]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[88]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[89]  2.094e-04 6.628e-04 1.184e-03 2.160e-03 6.709e-03
hr[90]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[91]  3.381e-05 1.065e-04 1.967e-04 3.610e-04 1.161e-03
hr[92]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[93]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[94]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[96]  1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[97]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[98]  2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[99]  1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[100] 4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[101] 4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[102] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[103] 6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[104] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[105] 2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[106] 1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[107] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[108] 1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[109] 1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[110] 1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[111] 3.102e-04 9.846e-04 1.783e-03 3.295e-03 1.057e-02
hr[112] 7.509e-04 2.365e-03 4.388e-03 8.059e-03 2.624e-02
hr[113] 3.278e-05 1.064e-04 1.965e-04 3.614e-04 1.183e-03
hr[114] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[115] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[116] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[117] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[118] 1.422e-05 1.422e-05 1.422e-05 1.422e-05 1.422e-05
hr[119] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[120] 2.683e-04 2.683e-04 2.683e-04 2.683e-04 2.683e-04
hr[121] 1.187e-04 1.187e-04 1.187e-04 1.187e-04 1.187e-04
hr[122] 4.398e-04 4.398e-04 4.398e-04 4.398e-04 4.398e-04
hr[123] 4.422e-04 4.422e-04 4.422e-04 4.422e-04 4.422e-04
hr[124] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[125] 6.259e-05 6.259e-05 6.259e-05 6.259e-05 6.259e-05
hr[126] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[127] 2.863e-04 2.863e-04 2.863e-04 2.863e-04 2.863e-04
hr[128] 1.224e-05 1.224e-05 1.224e-05 1.224e-05 1.224e-05
hr[129] 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[130] 1.396e-05 1.396e-05 1.396e-05 1.396e-05 1.396e-05
hr[131] 1.586e-02 1.586e-02 1.586e-02 1.586e-02 1.586e-02
hr[132] 1.746e-04 1.746e-04 1.746e-04 1.746e-04 1.746e-04
hr[133] 3.152e-04 1.002e-03 1.809e-03 3.277e-03 1.068e-02
hr[134] 7.517e-04 2.377e-03 4.396e-03 8.017e-03 2.602e-02
hr[135] 3.469e-03 3.469e-03 3.469e-03 3.469e-03 3.469e-03
hr[136] 1.362e-02 1.362e-02 1.362e-02 1.362e-02 1.362e-02
hr[137] 7.457e-03 7.457e-03 7.457e-03 7.457e-03 7.457e-03
hr[138] 4.861e-03 4.861e-03 4.861e-03 4.861e-03 4.861e-03
hr[139] 1.092e-04 1.092e-04 1.092e-04 1.092e-04 1.092e-04
hr[140] 3.729e-03 3.729e-03 3.729e-03 3.729e-03 3.729e-03
hr[141] 9.231e-03 9.231e-03 9.231e-03 9.231e-03 9.231e-03
hr[142] 4.557e-04 4.557e-04 4.557e-04 4.557e-04 4.557e-04
hr[143] 6.950e-04 6.950e-04 6.950e-04 6.950e-04 6.950e-04
hr[144] 9.100e-04 9.100e-04 9.100e-04 9.100e-04 9.100e-04
